"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","myhost1",,,,"User:","myuser1"
"Cmdline:","dstat -t -cdns --tcp --nocolor --noheaders --noupdate --output=/tmp/dstat.csv 60",,,,"Date:","31 Jan 2019 14:44:21 EST"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"swap",,"tcp sockets",,,,
31-01 15:00:21,1.850,0.153,97.946,0.002,0.0,0.049,0.0,39526.400,40899469.850,38916747.350,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 15:01:21,1.800,0.143,98.009,0.001,0.0,0.046,0.0,17749.333,40866021.250,38868054.417,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 15:02:21,1.808,0.139,98.004,0.001,0.0,0.047,0.0,11468.800,40956211.917,38997550.150,0.0,74837913600.0,18.0,223.0,0.0,1.0,0.0
31-01 15:03:21,1.789,0.143,98.019,0.001,0.0,0.048,0.0,13789.867,41055994.967,39054386.200,0.0,74837913600.0,18.0,219.0,0.0,9.0,0.0
31-01 15:04:21,1.840,0.143,97.969,0.001,0.0,0.048,0.0,12765.867,40937011.367,39065319.433,0.0,74837913600.0,18.0,220.0,0.0,0.0,0.0
31-01 15:05:21,1.798,0.141,98.014,0.001,0.0,0.046,0.0,17339.733,40876507.217,38929092.817,0.0,74837913600.0,18.0,220.0,0.0,0.0,0.0
31-01 15:06:21,1.804,0.138,98.011,0.001,0.0,0.046,0.0,16247.467,40668947.383,38725252.233,0.0,74837913600.0,18.0,220.0,0.0,0.0,0.0
31-01 15:07:21,1.807,0.140,98.005,0.001,0.0,0.046,0.0,12014.933,41018281.133,39073605.417,0.0,74837913600.0,18.0,219.0,0.0,4.0,0.0
31-01 15:08:21,1.822,0.138,97.990,0.002,0.0,0.047,0.0,12288.0,41049465.217,39042047.450,0.0,74837913600.0,18.0,220.0,0.0,3.0,0.0
31-01 15:09:21,1.794,0.141,98.018,0.001,0.0,0.046,0.0,11878.400,40946889.817,38892875.683,0.0,74837913600.0,18.0,220.0,0.0,0.0,0.0
31-01 15:10:21,1.852,0.143,97.959,0.002,0.0,0.045,0.0,16725.333,40955402.850,38978465.283,0.0,74837913600.0,18.0,220.0,0.0,0.0,0.0
31-01 15:11:21,1.797,0.141,98.013,0.002,0.0,0.046,0.0,20616.533,40999345.417,39153438.567,0.0,74837913600.0,18.0,219.0,0.0,1.0,0.0
31-01 15:12:21,1.829,0.143,97.980,0.001,0.0,0.047,0.0,17271.467,40895861.850,38897120.500,0.0,74837913600.0,18.0,218.0,0.0,7.0,0.0
31-01 15:13:21,1.805,0.140,98.007,0.002,0.0,0.046,0.0,14062.933,40917979.083,38898339.867,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
31-01 15:14:21,1.828,0.144,97.981,0.002,0.0,0.045,0.0,12424.533,40890316.383,38898705.200,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
31-01 15:15:21,1.803,0.140,98.010,0.001,0.0,0.046,0.0,12902.400,40981666.950,39168801.550,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
31-01 15:16:21,1.808,0.139,98.007,0.002,0.0,0.044,0.0,15564.800,40709570.083,38804621.833,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 15:17:21,1.802,0.140,98.010,0.001,0.0,0.046,0.0,12288.0,41032734.233,38988603.367,0.0,74837913600.0,18.0,227.0,0.0,5.0,0.0
31-01 15:18:21,1.803,0.143,98.006,0.001,0.0,0.047,0.0,15155.200,40841210.117,38872656.100,0.0,74837913600.0,18.0,228.0,0.0,0.0,0.0
31-01 15:19:21,1.770,0.141,98.041,0.002,0.0,0.046,0.0,14882.133,41228699.983,38947376.483,0.0,74837913600.0,18.0,228.0,0.0,0.0,0.0
31-01 15:20:21,1.821,0.144,97.987,0.001,0.0,0.047,0.0,13721.600,40812782.183,38854902.267,0.0,74837913600.0,18.0,228.0,0.0,0.0,0.0
31-01 15:21:21,1.784,0.138,98.031,0.001,0.0,0.046,0.0,16588.800,41061924.700,38992055.533,0.0,74837913600.0,18.0,220.0,0.0,9.0,0.0
31-01 15:22:21,1.857,0.142,97.953,0.001,0.0,0.046,0.0,33382.400,40929399.400,38916354.283,0.0,74837913600.0,18.0,221.0,1.0,5.0,0.0
31-01 15:23:21,1.816,0.148,97.987,0.001,0.0,0.048,0.0,305425.067,40938137.317,38977673.700,0.0,74837913600.0,18.0,222.0,0.0,0.0,0.0
31-01 15:24:21,1.832,0.142,97.977,0.001,0.0,0.049,0.0,53794.133,40977075.233,39256296.317,0.0,74837913600.0,18.0,221.0,0.0,0.0,0.0
31-01 15:25:21,1.802,0.141,98.008,0.002,0.0,0.047,0.0,16384.0,40948248.033,38954254.883,0.0,74837913600.0,18.0,220.0,0.0,1.0,0.0
31-01 15:26:21,1.826,0.143,97.984,0.001,0.0,0.047,0.0,19387.733,40825449.250,38862613.417,0.0,74837913600.0,18.0,224.0,0.0,6.0,0.0
31-01 15:27:21,1.778,0.136,98.039,0.001,0.0,0.046,0.0,11878.400,40928320.717,38925027.667,0.0,74837913600.0,18.0,224.0,0.0,1.0,0.0
31-01 15:28:21,1.831,0.142,97.982,0.001,0.0,0.044,0.0,14745.600,40874868.650,38898350.483,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 15:29:21,1.781,0.141,98.032,0.001,0.0,0.045,0.0,11468.800,40899926.700,38900774.817,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 15:30:21,1.833,0.141,97.980,0.001,0.0,0.046,0.0,15428.267,40882893.917,38948401.900,0.0,74837913600.0,18.0,222.0,0.0,5.0,0.0
31-01 15:31:21,1.831,0.136,97.985,0.000,0.0,0.047,0.0,15360.0,40958444.483,39017720.800,0.0,74837913600.0,18.0,225.0,0.0,4.0,0.0
31-01 15:32:21,1.823,0.139,97.990,0.000,0.0,0.048,0.0,11537.067,40914566.367,38919618.233,0.0,74837913600.0,18.0,226.0,0.0,0.0,0.0
31-01 15:33:21,1.795,0.138,98.021,0.001,0.0,0.045,0.0,12014.933,40919623.483,38888669.150,0.0,74837913600.0,18.0,226.0,0.0,0.0,0.0
31-01 15:34:21,1.810,0.142,98.000,0.001,0.0,0.046,0.0,16930.133,41107193.950,39222136.117,0.0,74837913600.0,18.0,226.0,0.0,1.0,0.0
31-01 15:35:21,1.837,0.140,97.976,0.001,0.0,0.046,0.0,16315.733,41065468.883,39009338.017,0.0,74837913600.0,18.0,223.0,0.0,8.0,0.0
31-01 15:36:21,1.816,0.138,98.001,0.001,0.0,0.045,0.0,16042.667,40630152.450,38686900.400,0.0,74837913600.0,18.0,225.0,0.0,1.0,0.0
31-01 15:37:21,1.854,0.143,97.956,0.001,0.0,0.045,0.0,12629.333,40959241.433,38965155.800,0.0,74837913600.0,18.0,225.0,0.0,0.0,0.0
31-01 15:38:21,1.866,0.141,97.946,0.001,0.0,0.046,0.0,11810.133,41376860.683,39899041.250,0.0,74837913600.0,18.0,225.0,0.0,0.0,0.0
31-01 15:39:21,1.818,0.141,97.994,0.002,0.0,0.046,0.0,11673.600,40912394.983,38876578.733,0.0,74837913600.0,18.0,222.0,0.0,4.0,0.0
31-01 15:40:21,1.833,0.141,97.979,0.001,0.0,0.045,0.0,14472.533,41147197.833,39065430.617,0.0,74837913600.0,18.0,223.0,0.0,6.0,0.0
31-01 15:41:21,1.829,0.140,97.982,0.001,0.0,0.048,0.0,15360.0,41024301.083,38950224.167,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
31-01 15:42:21,1.802,0.142,98.008,0.001,0.0,0.046,0.0,16110.933,40831837.800,38837887.517,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
31-01 15:43:21,1.830,0.144,97.980,0.001,0.0,0.045,0.0,12492.800,40903439.633,38982955.550,0.0,74837913600.0,18.0,222.0,0.0,1.0,0.0
31-01 15:44:21,1.811,0.142,98.000,0.001,0.0,0.046,0.0,13448.533,41027819.350,38972439.150,0.0,74837913600.0,18.0,222.0,0.0,5.0,0.0
